RPM_A,RPM_B,Position_A (deg),Position_B (deg),Distance_A (cm),Distance_B (cm),Current_A,Current_B,Speed_A,Speed_B,Angular_Velocity (deg/s),timestamp
44,-45,200.47058823529412,135.52941176470588,0.000146432124376297,-0.00015267390290896098,0.1423383281960504,-0.18652912991729487,23.038326666666666,-23.561925,-106.8,1719304094.398849
44,-45,190.58823529411765,145.41176470588235,0.000146432124376297,-0.00015267390290896098,0.12134159367656494,-0.17041535691396792,23.038326666666666,-23.561925,-106.8,1719304094.434129
44,-45,182.11764705882354,155.2941176470588,0.00016840318481127421,-0.00017514430562655132,0.11401715140232582,-0.17896053956724778,23.038326666666666,-23.561925,-106.8,1719304094.4719481
44,-45,172.23529411764707,165.1764705882353,0.00016840318481127421,-0.00017514430562655132,0.06494338816492196,-0.0761741996520886,23.038326666666666,-23.561925,-106.8,1719304094.505692
45,-46,162.35294117647058,173.64705882352942,0.00016840318481127421,-0.00017514430562655132,0.08716086306344728,-0.10327463606677423,23.561925,-24.085523333333335,-109.2,1719304094.544147
45,-46,152.47058823529412,183.52941176470588,0.00016840318481127421,-0.00017514430562655132,0.08178960539567193,-0.03881954405346821,23.561925,-24.085523333333335,-109.2,1719304094.5773382
45,-46,142.58823529411765,193.41176470588235,0.00016840318481127421,-0.00017514430562655132,0.08276619769890381,-0.1076693014313177,23.561925,-24.085523333333335,-109.2,1719304094.613487
45,-46,134.11764705882354,203.2941176470588,0.00016840318481127421,-0.00017514430562655132,0.08911404766991105,-0.08056886501663296,23.561925,-24.085523333333335,-109.2,1719304094.6485472
45,-45,124.23529411764706,211.76470588235293,0.00016840318481127421,-0.00017514430562655132,0.09057893612475887,-0.10327463606677423,23.561925,-23.561925,-107.99999999999999,1719304094.682893
45,-45,114.3529411764706,221.64705882352942,0.00019087358752886455,-0.00019761470834414165,0.13232825708792362,-0.06860560930204151,23.561925,-23.561925,-107.99999999999999,1719304094.720984
44,-45,104.47058823529412,231.52941176470588,0.00021284464796384177,-0.00022008511106173199,0.08520767845698352,-0.11059907834101423,23.038326666666666,-23.561925,-106.8,1719304094.759497
